mrt_name,stop_id,line,longitude,latitude,town,region
KANGKAR LRT STATION,SE4,SE,103.902174,1.383978902,SENGKANG,NORTH-EAST REGION
MERIDIAN LRT STATION,PE2,PE,103.9089502,1.396912053,PUNGGOL,NORTH-EAST REGION
CHENG LIM LRT STATION,SW1,SW,103.8937972,1.396277631,SENGKANG,NORTH-EAST REGION
PUNGGOL POINT LRT STATION,PW3,PW,103.9066508,1.41684852,PUNGGOL,NORTH-EAST REGION
SUMANG LRT STATION,PW6,PW,103.8985585,1.408452426,PUNGGOL,NORTH-EAST REGION
FERNVALE LRT STATION,SW5,SW,103.8763086,1.391885888,SENGKANG,NORTH-EAST REGION
TONGKANG LRT STATION,SW7,SW,103.8858441,1.389347953,SENGKANG,NORTH-EAST REGION
PENDING LRT STATION,BP8,BP,103.7712702,1.376142883,BUKIT PANJANG,WEST REGION
TECK LEE LRT STATION,PW2,PW,103.9065776,1.412770894,PUNGGOL,NORTH-EAST REGION
BANGKIT LRT STATION,BP9,BP,103.7726491,1.380017897,BUKIT PANJANG,WEST REGION
BAKAU LRT STATION,SE3,SE,103.9054391,1.388092704,SENGKANG,NORTH-EAST REGION
RUMBIA LRT STATION,SE2,SE,103.9059736,1.391468497,SENGKANG,NORTH-EAST REGION
COMPASSVALE LRT STATION,SE1,SE,103.9004925,1.394493046,SENGKANG,NORTH-EAST REGION
TEN MILE JUNCTION LRT STATION,BP14,BP,103.7601398,1.380321008,CHOA CHU KANG,WEST REGION
RANGGUNG LRT STATION,SE5,SE,103.8971947,1.384233561,SENGKANG,NORTH-EAST REGION
PHOENIX LRT STATION,BP5,BP,103.7580341,1.378618844,CHOA CHU KANG,WEST REGION
SEGAR LRT STATION,BP11,BP,103.7695984,1.387772131,BUKIT PANJANG,WEST REGION
BRAS BASAH MRT STATION,CC2,CC,103.8506674,1.296861687,MUSEUM,CENTRAL REGION
MACPHERSON MRT STATION,CC10,CC,103.890287,1.326345372,GEYLANG,CENTRAL REGION
TAMPINES EAST MRT STATION,DT33,DT,103.9546345,1.356191483,TAMPINES,EAST REGION
TAMPINES WEST MRT STATION,DT31,DT,103.938437,1.345515305,TAMPINES,EAST REGION
GEYLANG BAHRU MRT STATION,DT24,DT,103.8719006,1.321505838,KALLANG,CENTRAL REGION
BENDEMEER MRT STATION,DT23,DT,103.862978,1.313672233,KALLANG,CENTRAL REGION
BENCOOLEN MRT STATION,DT21,DT,103.8503843,1.29886427,ROCHOR,CENTRAL REGION
PROMENADE MRT STATION,DT15,DT,103.860853,1.292891552,DOWNTOWN CORE,CENTRAL REGION
BUGIS MRT STATION,DT14,DT,103.8568683,1.299550746,DOWNTOWN CORE,CENTRAL REGION
KENT RIDGE MRT STATION,CC24,CC,103.7846314,1.293462633,QUEENSTOWN,CENTRAL REGION
MACPHERSON MRT STATION,DT26,DT,103.8893506,1.326076883,GEYLANG,CENTRAL REGION
PUNGGOL MRT STATION,NE17,NE,103.9020726,1.404546728,PUNGGOL,NORTH-EAST REGION
TANJONG PAGAR MRT STATION,EW15,EW,103.8458642,1.276521247,DOWNTOWN CORE,CENTRAL REGION
ONE-NORTH MRT STATION,CC23,CC,103.7874575,1.299759879,QUEENSTOWN,CENTRAL REGION
BISHAN MRT STATION,CC15,CC,103.8491544,1.35130868,BISHAN,CENTRAL REGION
STADIUM MRT STATION,CC6,CC,103.8753503,1.30284063,KALLANG,CENTRAL REGION
BUGIS MRT STATION,EW12,EW,103.8557064,1.300465076,ROCHOR,CENTRAL REGION
SOMERSET MRT STATION,NS23,NS,103.8390752,1.300260055,ORCHARD,CENTRAL REGION
ORCHARD MRT STATION,NS22,NS,103.8322415,1.303981012,ORCHARD,CENTRAL REGION
JALAN BESAR MRT STATION,DT22,DT,103.855477,1.305403642,ROCHOR,CENTRAL REGION
SENGKANG MRT STATION,NE16,NE,103.8954847,1.391694626,SENGKANG,NORTH-EAST REGION
BUKIT BROWN MRT STATION,CC18,CC,103.8306896,1.333728882,NOVENA,CENTRAL REGION
MOUNTBATTEN MRT STATION,CC7,CC,103.8825281,1.306201905,GEYLANG,CENTRAL REGION
KOVAN MRT STATION,NE13,NE,103.8850649,1.360179171,HOUGANG,NORTH-EAST REGION
FORT CANNING MRT STATION,DT20,DT,103.8443283,1.292478928,SINGAPORE RIVER,CENTRAL REGION
FARRER ROAD MRT STATION,CC20,CC,103.8075861,1.317510612,BUKIT TIMAH,CENTRAL REGION
EXPO MRT STATION,DT35,DT,103.9623757,1.335382137,TAMPINES,EAST REGION
DOWNTOWN MRT STATION,DT17,DT,103.8528404,1.27944619,DOWNTOWN CORE,CENTRAL REGION
BUONA VISTA MRT STATION,CC22,CC,103.7906534,1.306491669,QUEENSTOWN,CENTRAL REGION
