street_name,latitude,longitude
SELETAR WEST FARMWAY 6,1.395374649,103.8700293
SERANGOON AVE 2,1.3491521,103.8714804
SERANGOON AVE 4,1.35715755,103.8714342
SERANGOON CTRL,1.3535142,103.8716164
TAMPINES ST 21,1.351626061,103.9501241
TAMPINES ST 91,1.3466007,103.9390095
TAMPINES ST 81,1.348244741,103.9341017
TAMPINES AVE 4,1.354612151,103.9463448
TAMPINES ST 22,1.348317043,103.9533786
TAMPINES ST 12,1.351274649,103.9444196
TAMPINES ST 23,1.353785509,103.9520126
TAMPINES ST 24,1.354682973,103.9515035
TAMPINES ST 41,1.35824693,103.9463599
TAMPINES ST 82,1.35333645,103.9388118
TAMPINES ST 83,1.35127389,103.9336654
TAMPINES AVE 5,1.354411983,103.9415504
LOR 2 TOA PAYOH,1.3353906,103.8497414
TOA PAYOH EAST,1.3336613,103.8580739
TOA PAYOH CTRL,1.3326741,103.8505222
POTONG PASIR AVE 3,1.3315282,103.8663154
POTONG PASIR AVE 1,1.332767177,103.8682106
JOO SENG RD,1.3354056,103.8807301
MARSILING LANE,1.446865496,103.771317
MARSILING DR,1.444004562,103.7730056
MARSILING RISE,1.437891189,103.7826297
MARSILING CRES,1.447196087,103.7741667
WOODLANDS CTR RD,1.44080715,103.7710321
WOODLANDS ST 11,1.4329603,103.7756096
YISHUN RING RD,1.424438791,103.8450181
YISHUN AVE 5,1.43033515,103.8286379
YISHUN ST 11,1.434121384,103.8320739
YISHUN ST 21,1.431844679,103.839081
YISHUN ST 22,1.438629482,103.836282
YISHUN AVE 3,1.4229098,103.8336507
CHAI CHEE AVE,1.3249583,103.9248958
ZION RD,1.291879092,103.8324501
LENGKOK BAHRU,1.28790445,103.8147349
SPOTTISWOODE PK RD,1.273508163,103.8392278
NEW MKT RD,1.287670131,103.8451916
KELANTAN RD,1.30579945,103.8562461
PAYA LEBAR WAY,1.3234745,103.8850893
UBI AVE 1,1.330008247,103.9002942
SIMS AVE,1.317308359,103.8949824
TAO CHING RD,1.33286054,103.7234974
GLOUCESTER RD,1.312602899,103.8524083
BOON KENG RD,1.313066655,103.8676658
WHAMPOA STH,1.3250652,103.8663175
CAMBRIDGE RD,1.316363,103.8497021
