,mrt_name,stop_id,line,longitude,latitude,SUBZONE_N,town,region
51,THANGGAM LRT STATION,SW4,SW,103.8756352,1.397318155,FERNVALE,SENGKANG,NORTH-EAST REGION
52,KEAT HONG LRT STATION,BP3,BP,103.7490555,1.378602766,TECK WHYE,CHOA CHU KANG,WEST REGION
53,DAMAI LRT STATION,PE7,PE,103.9086035,1.405234836,WATERWAY EAST,PUNGGOL,NORTH-EAST REGION
54,COVE LRT STATION,PE1,PE,103.9059619,1.399281985,PUNGGOL FIELD,PUNGGOL,NORTH-EAST REGION
55,RIVIERA LRT STATION,PE4,PE,103.9161661,1.394524496,PUNGGOL FIELD,PUNGGOL,NORTH-EAST REGION
56,SENJA LRT STATION,BP13,BP,103.7623672,1.382692296,SENJA,BUKIT PANJANG,WEST REGION
57,JELAPANG LRT STATION,BP12,BP,103.7645033,1.386703025,SAUJANA,BUKIT PANJANG,WEST REGION
58,PETIR LRT STATION,BP7,BP,103.766669,1.377750334,JELEBU,BUKIT PANJANG,WEST REGION
59,TECK WHYE LRT STATION,BP4,BP,103.7537122,1.376684679,TECK WHYE,CHOA CHU KANG,WEST REGION
60,CHOA CHU KANG LRT STATION,BP1,BP,103.7445537,1.38483636,CHOA CHU KANG CENTRAL,CHOA CHU KANG,WEST REGION
61,SOUTH VIEW LRT STATION,BP2,BP,103.7452918,1.380298287,CHOA CHU KANG CENTRAL,CHOA CHU KANG,WEST REGION
62,LAYAR LRT STATION,SW6,SW,103.8800296,1.392079839,FERNVALE,SENGKANG,NORTH-EAST REGION
63,KANGKAR LRT STATION,SE4,SE,103.902174,1.383978902,RIVERVALE,SENGKANG,NORTH-EAST REGION
64,MERIDIAN LRT STATION,PE2,PE,103.9089502,1.396912053,PUNGGOL FIELD,PUNGGOL,NORTH-EAST REGION
65,CHENG LIM LRT STATION,SW1,SW,103.8937972,1.396277631,ANCHORVALE,SENGKANG,NORTH-EAST REGION
66,PUNGGOL POINT LRT STATION,PW3,PW,103.9066508,1.41684852,NORTHSHORE,PUNGGOL,NORTH-EAST REGION
67,SUMANG LRT STATION,PW6,PW,103.8985585,1.408452426,PUNGGOL TOWN CENTRE,PUNGGOL,NORTH-EAST REGION
68,FERNVALE LRT STATION,SW5,SW,103.8763086,1.391885888,FERNVALE,SENGKANG,NORTH-EAST REGION
69,TONGKANG LRT STATION,SW7,SW,103.8858441,1.389347953,COMPASSVALE,SENGKANG,NORTH-EAST REGION
70,PENDING LRT STATION,BP8,BP,103.7712702,1.376142883,BANGKIT,BUKIT PANJANG,WEST REGION
71,TECK LEE LRT STATION,PW2,PW,103.9065776,1.412770894,NORTHSHORE,PUNGGOL,NORTH-EAST REGION
72,BANGKIT LRT STATION,BP9,BP,103.7726491,1.380017897,BANGKIT,BUKIT PANJANG,WEST REGION
73,BAKAU LRT STATION,SE3,SE,103.9054391,1.388092704,RIVERVALE,SENGKANG,NORTH-EAST REGION
74,RUMBIA LRT STATION,SE2,SE,103.9059736,1.391468497,RIVERVALE,SENGKANG,NORTH-EAST REGION
75,COMPASSVALE LRT STATION,SE1,SE,103.9004925,1.394493046,SENGKANG TOWN CENTRE,SENGKANG,NORTH-EAST REGION
76,TEN MILE JUNCTION LRT STATION,BP14,BP,103.7601398,1.380321008,TECK WHYE,CHOA CHU KANG,WEST REGION
77,RANGGUNG LRT STATION,SE5,SE,103.8971947,1.384233561,COMPASSVALE,SENGKANG,NORTH-EAST REGION
78,PHOENIX LRT STATION,BP5,BP,103.7580341,1.378618844,TECK WHYE,CHOA CHU KANG,WEST REGION
79,SEGAR LRT STATION,BP11,BP,103.7695984,1.387772131,SAUJANA,BUKIT PANJANG,WEST REGION
80,BRAS BASAH MRT STATION,CC2,CC,103.8506674,1.296861687,BRAS BASAH,MUSEUM,CENTRAL REGION
81,MACPHERSON MRT STATION,CC10,CC,103.890287,1.326345372,MACPHERSON,GEYLANG,CENTRAL REGION
82,TAMPINES EAST MRT STATION,DT33,DT,103.9546345,1.356191483,TAMPINES EAST,TAMPINES,EAST REGION
83,TAMPINES WEST MRT STATION,DT31,DT,103.938437,1.345515305,TAMPINES WEST,TAMPINES,EAST REGION
