,mrt_name,stop_id,line,longitude,latitude,SUBZONE_N,town,region
208,MARYMOUNT MRT STATION,CC16,CE,103.8394231,1.348707263,UPPER THOMSON,BISHAN,CENTRAL REGION
209,HAW PAR VILLA MRT STATION,CC25,CE,103.7818105,1.282542157,PASIR PANJANG 1,QUEENSTOWN,CENTRAL REGION
210,LORONG CHUAN MRT STATION,CC14,CE,103.8641519,1.351612171,LORONG CHUAN,SERANGOON,NORTH-EAST REGION
211,TAI SENG MRT STATION,CC11,CE,103.8881949,1.335433322,JOO SENG,TOA PAYOH,CENTRAL REGION
212,PROMENADE MRT STATION,CC4,CE,103.8609992,1.293218051,MARINA CENTRE,DOWNTOWN CORE,CENTRAL REGION
213,BOTANIC GARDENS MRT STATION,CC19,CE,103.8149828,1.322110193,TYERSALL,TANGLIN,CENTRAL REGION
214,HOLLAND VILLAGE MRT STATION,CC21,CE,103.7961918,1.31183479,LEEDON PARK,BUKIT TIMAH,CENTRAL REGION
215,TELOK BLANGAH MRT STATION,CC28,CE,103.8097486,1.270753211,MARITIME SQUARE,BUKIT MERAH,CENTRAL REGION
216,HARBOURFRONT MRT STATION,NE1 / CC29,CE,103.8214431,1.26547264,MARITIME SQUARE,BUKIT MERAH,CENTRAL REGION
217,EUNOS MRT STATION,EW7,CG,103.9032525,1.319778952,GEYLANG EAST,GEYLANG,CENTRAL REGION
218,CHINESE GARDEN MRT STATION,EW25,CG,103.7325967,1.342352821,LAKESIDE (LEISURE),JURONG EAST,WEST REGION
219,REDHILL MRT STATION,EW18,CG,103.8168167,1.289562726,REDHILL,BUKIT MERAH,CENTRAL REGION
220,PIONEER MRT STATION,EW28,CG,103.6973215,1.337586882,JURONG WEST CENTRAL,JURONG WEST,WEST REGION
221,COMMONWEALTH MRT STATION,EW20,CG,103.7983045,1.302438735,COMMONWEALTH,QUEENSTOWN,CENTRAL REGION
222,PAYA LEBAR MRT STATION,EW8,CG,103.8930604,1.318112082,GEYLANG EAST,GEYLANG,CENTRAL REGION
223,CLEMENTI MRT STATION,EW23,CG,103.7652989,1.314954492,CLEMENTI NORTH,CLEMENTI,WEST REGION
224,ALJUNIED MRT STATION,EW9,CG,103.882906,1.316432612,ALJUNIED,GEYLANG,CENTRAL REGION
225,QUEENSTOWN MRT STATION,EW19,CG,103.8058843,1.294860933,MEI CHIN,QUEENSTOWN,CENTRAL REGION
226,TUAS LINK MRT STATION,EW33,CG,103.6368787,1.340463766,TUAS PROMENADE,TUAS,WEST REGION
227,GUL CIRCLE MRT STATION,EW30,CG,103.660553,1.319505215,GUL CIRCLE,PIONEER,WEST REGION
228,TUAS CRESCENT MRT STATION,EW31,CG,103.6490755,1.321026553,TUAS NORTH,TUAS,WEST REGION
229,KALLANG MRT STATION,EW10,CG,103.8713865,1.31148891,BOON KENG,KALLANG,CENTRAL REGION
230,TUAS WEST ROAD MRT STATION,EW32,CG,103.6396141,1.329989089,TUAS BAY,TUAS,WEST REGION
231,BUONA VISTA MRT STATION,EW21,CG,103.7901915,1.307183467,ONE NORTH,QUEENSTOWN,CENTRAL REGION
232,DOVER MRT STATION,EW22,CG,103.7786378,1.311405293,SINGAPORE POLYTECHNIC,QUEENSTOWN,CENTRAL REGION
233,KEMBANGAN MRT STATION,EW6,CG,103.9129494,1.321038249,KEMBANGAN,BEDOK,EAST REGION
234,BOON LAY MRT STATION,EW27,CG,103.7060646,1.338604055,JURONG WEST CENTRAL,JURONG WEST,WEST REGION
235,BEDOK MRT STATION,EW5,CG,103.9299845,1.323979969,BEDOK NORTH,BEDOK,EAST REGION
236,JOO KOON MRT STATION,EW29,CG,103.6783751,1.327717173,JOO KOON,PIONEER,WEST REGION
237,LAKESIDE MRT STATION,EW26,CG,103.7209493,1.344259249,TAMAN JURONG,JURONG WEST,WEST REGION
238,TANAH MERAH MRT STATION,EW4,CG,103.9463465,1.327187135,BEDOK SOUTH,BEDOK,EAST REGION
239,TANJONG PAGAR MRT STATION,EW15,CG,103.8458642,1.276521247,TANJONG PAGAR,DOWNTOWN CORE,CENTRAL REGION
240,BUGIS MRT STATION,EW12,CG,103.8557064,1.300465076,VICTORIA,ROCHOR,CENTRAL REGION
241,TIONG BAHRU MRT STATION,EW17,CG,103.8270194,1.286193393,TIONG BAHRU STATION,BUKIT MERAH,CENTRAL REGION
242,LAVENDER MRT STATION,EW11,CG,103.8628292,1.30735702,LAVENDER,KALLANG,CENTRAL REGION
243,OUTRAM PARK MRT STATION,EW16,CG,103.8391265,1.281404978,PEOPLE'S PARK,OUTRAM,CENTRAL REGION
244,JURONG EAST MRT STATION,EW24 / NS1,CG,103.7422865,1.33315262,JURONG GATEWAY,JURONG EAST,WEST REGION
245,CITY HALL MRT STATION,EW13 / NS25,CG,103.8525859,1.292936243,CITY HALL,DOWNTOWN CORE,CENTRAL REGION
246,RAFFLES PLACE MRT STATION,EW14 / NS26,CG,103.8514617,1.284125611,RAFFLES PLACE,DOWNTOWN CORE,CENTRAL REGION
